cidade,estado,zona_bioclimatica,latitude,longitude,tbsm,ur
Aracaju/SE,SE,5A,-10.98,-37.07,26.64,76.81
Belem/PA,PA,6A,-1.45,-48.47,27.04,80.95
Belo Horizonte/MG,MG,3B,-19.85,-43.95,22.08,65.22
Boa Vista/RR,RR,6A,2.85,-60.69,27.9,71.46
Brasilia/DF,DF,3B,-15.86,-47.91,21.98,65.82
Campo Grande/MS,MS,4B,-20.47,-54.67,23.72,66.93
Canela/RS,RS,1R,-29.37,-50.83,16.26,81.31
Cuiaba/MT,MT,5B,-15.65,-56.12,26.74,67.48
Curitiba/PR,PR,1M,-25.53,-49.18,17.54,82.81
Florianopolis/SC,SC,3A,-27.67,-48.55,21.2,80.32
Fortaleza/CE,CE,6A,-3.78,-38.53,27.12,73.59
Goiania/GO,GO,4B,-16.63,-49.22,24.27,64.67
Joao Pessoa/PB,PB,5A,-7.1,-34.87,25.99,79.9
Macapa/AP,AP,6A,-0.05,-51.11,28.27,82.89
Maceio/AL,AL,5A,-9.51,-35.79,25.02,82.52
Manaus/AM,AM,6A,-3.15,-59.99,27.25,81.21
Natal/RN,RN,5A,-5.91,-35.25,26.31,78.38
Palmas/TO,TO,6B,-10.19,-48.3,27.38,65.4
Petrolina/PE,PE,6B,-9.36,-40.57,27.53,58.18
Porto Alegre/RS,RS,2R,-29.99,-51.17,20.05,78.94
Porto Velho/RO,RO,5A,-8.71,-63.9,26.46,80.74
Recife/PE,PE,5A,-8.13,-34.92,26.73,75.58
Rio Branco/AC,AC,5A,-9.87,-67.89,25.58,83.65
Rio de Janeiro/RJ,RJ,4A,-22.81,-43.24,24.38,75.01
Salvador/BA,BA,5A,-12.91,-38.33,26.45,76.68
Sao Luis/MA,MA,6A,-2.59,-44.23,27.57,74.01
Sao Paulo/SP,SP,2M,-23.63,-46.66,20.39,70.96
Teresina/PI,PI,6A,-5.06,-42.82,29.07,68.31
Vitoria/ES,ES,4A,-20.26,-40.29,24.79,76.51
